202	nach Vereinbarung
186	Öffnungszeiten vorhanden, aber unbekannt
143	24 hours
117	fixme
113	n/a
110	weekly
109	
98	24h/24h
93	Mo,Tu,We,Th,Fr,Su -
85	by appointment
79	24
70	summer
64	other
62	24h
54	twice per week
54	no
53	seasonal
53	Consulter les horaires sur le site Internet de la paroisse Saint-François et Sainte-Claire dont dépend cette église.
52	24 Hours
51	none
51	9-18 (9-14) 2 hours max (parking disc prescribed)
51	24시간
48	Sep: Fr[3]-Su[-1]
48	24時間
47	Freitag
41	Termine nach Vereinbarung
40	sur rendez-vous
40	by_appointment
40	automatic
39	Nach Vereinbarung
39	24/24
38	at 8:00 AM
36	aux horaires d'ouverture du parc
36	24 horas
36	-
35	geschlossen
33	dusk-dawn;motion
32	dauerhaft geschlossen
32	7/24
28	0900:-17:00
27	Mo-Fr 8:00 18:00; PH off
27	2024 Mar-2025 Jan
26	Weekly
26	Temporarily Closed
26	24hrs
26	07.30 a 17 hs
25	N/A
25	daily
25	24:00
24	Mo-Su_09:00-17:00
24	at 9:00 AM
24	24 hrs
23	Mo,Tu,We,Th,Fr,Sa,Su -
23	always
22	Sundays
21	Sat-Thu 010:00-20:00
21	Non sono previste funzioni religiose.
21	Lunes en la Mañana
21	At All Times
21	12hrs
20	unregelmäßig nach Bedarf
20	By appointment only
20	appointment
19	winter off
19	Tuesday and Friday
19	part_night
19	24 Hour
18	五、六、日 18:00-24:00
18	Відділення: Пн-Пт 09:00-18:00 Каса: Пн-Пт 09:00-17:45 Тех. перерва: 12:30-13:30
18	Tu,We,Th,Fr,Sa,Su -
18	8hrs
18	0/7
17	winter
17	Mo,We 10:00-12:00,13:00-18:00 Tu,Th,Fr 08:00-12:00,13:00-16:00
17	24小時
17	24H
16	Sundays 10am
16	Consulter les horaires sur la paroisse Notre-Dame Mère de l'Église dont dépend cette église.
16	Consulter le site de la paroisse Sainte-Madeleine et les Saints-Apôtres dont dépend cette église.
16	By Appointment
16	By appointment
16	24hours
16	24 Jam
16	07:00 ás 23:00
15	不明
15	Пн-Пт 8:30-17:30 обед 12:30-13:30
15	Permanently Closed
15	None
15	Mon-Sun: Open 24 hours
15	Mo,Tu,We,Th,Fr,Sa -
15	Delivery only
15	26 Apr - 06 Oct season, 29 Mar - 25 April + 07 Oct - 27 Oct off-season
15	24時間営業
15	24*7
14	Manhã e Tarde
14	Closed during snowfall　積雪時閉鎖
14	24hr
14	24 hour
14	19:00 às 21:00
13	круглосуточно
13	morning and evening
13	L-D
13	9:00～21：30（但し、休館日は除く）
13	27/7
13	24 jam
13	-22:00
12	Круглосуточно
12	больше не работает
12	Sur rendez-vous
12	Summer
12	Seasonal
12	permanently closed
12	Montag
12	Mo-Sa_09:00-18:00
12	Mo-Fr 10:00-21:00 Sa 10:00-20:00 Su closed
12	Ma-Sa 09:00-18:00
12	Consulter le site de la paroisse Saint-François et Sainte-Claire dont dépend cette église.
12	Apr-Oct Mo-Sa 07:30-19:00; Nov-Mar Mo-Sa 07:30-18:00; Su 08:00-13:00; PH on; Jan 01 off; May 01 off; Dec 25 off
12	Always Open
12	All day
12	24x7
12	10:00-18:00 Apr-Sep; 9:00-17:00 Oct-Mar; Mo closed
11	周一至周五 09:00-12:00,14:00-18:00
11	по индивидуальному графику
11	yes
11	Open 24 hours
11	Mo-Su 09:00-17:00; 1 Apr-30 Sep Mo-Su 09:00-19:00
11	Mo-Sa 8:00 18:00; PH off
11	Lu-Su 20:00-23:00
11	Geschlossen
11	Dostępne w godzinach pracy kolei linowej.
11	Desconocido
11	Daily
11	Always open
11	allday
11	all time
11	-23:00
10	週一至週五08：00~17：00
10	Пн.-Пт.08:00-20:00 Сб.-Нд. 09:00-19:00
10	Während der Öffnungszeiten
10	unknown-17:00
10	täglich Selbstbedienung
10	Permanently closed
10	on appointment
10	No
10	Mo-Sa_08:00-18:00
10	Everyday
10	every other Wednesday
10	Bestellungen telefonisch oder per E-mail.
10	aux horaires d'ouverture du square
10	auf Anfrage
10	all
10	24小时
10	11:00~22:00
9	全天
9	ПН-ВС 10:00-20:00
9	x
9	variable
9	Sopimuksen mukaan
9	private
9	Po dogovoru
9	parking_aisle
9	Monday-Friday 9:30 AM & 5 PM; Saturday 9:30 AM & 4 PM
9	Mo-Fr_09:00-17:00
9	Lun-Ven 12:00
9	https://www.dimb.de/dimb-bikepark-rureifel/
9	at 7:00 AM
9	appointment only
9	all_week
9	7~21
9	5 times a day
9	24h.
9	24:00; 07:00
9	12hours
9	10:00~22:00
9	-20:00
8	اوقات الصلاة
8	unset
8	Temporary Closed
8	Public
8	Once a day
8	Nach Absprache
8	Mo-Sa_09:00-17:00
8	Mo-Fr_08:30-15:30
8	Fermé
8	Dauerhaft geschlossen
8	By Appointment Only
8	always open
8	Always
8	7/7
8	24hour
8	24 h
8	12/7
8	12 hours
8	10am Sunday
8	10:00-18:00,Sa 10:00-14:00 Apr-Sep; 9:00-17:00,Sa 10:00-14:00 Oct-Mar; Mo closed
